T,P,rho_L,rho_V,u_L,u_V,h_L,h_V,s_L,s_V
250.06491064041907,1637363.552051817,1010.6390182976579,42.45319507540927,116259.10629178458,361649.68152078,117879.23328313089,400218.3581337742,538.5313888132087,1667.5947353162005
250.31579376312743,1649951.4237363203,1009.6286671744837,42.7878103065416,116735.59771151225,361682.6697166576,118369.81381232261,400243.9190985656,540.4424095184995,1666.5164020887757
250.56667688583576,1662609.7789245315,1008.6163200019492,43.12466638665683,117212.46907640024,361715.07411861076,118860.87565673527,400268.64260346646,542.3531089375867,1665.4384706632702
250.8175600085441,1675338.856638652,1007.6019633831378,43.46377866995948,117689.72301077498,361746.8908225238,119352.4220898969,400292.52371284994,544.2634990666745,1664.3609181364668
251.06844313125245,1688138.8962598161,1006.5855837779142,43.805162668714814,118167.36216493374,361778.11588338146,119844.4564164965,400315.55744082294,546.1735919809535,1663.2837214993144
251.31932625396078,1701010.1375319231,1005.5671675006145,44.14883405573869,118645.38921557227,361808.7453146423,120336.98197288146,400337.73875044554,548.0833998361726,1662.2068576343224
251.57020937666914,1713952.8205655664,1004.5467007176851,44.49480866693774,119123.80686622253,361838.7750875972,120830.00212756889,400359.06255293335,549.9929348702465,1661.1303033129195
251.82109249937747,1726967.1858420265,1003.5241694452754,44.8431025038995,119602.61784769876,361868.2011307164,121323.52028176429,400379.52370684396,551.9022094048938,1660.0540351927575
252.0719756220858,1740053.4742173662,1002.4995595467786,45.19373173653553,120081.82491855256,361897.0193289836,121817.53986989273,400399.1170172492,553.8112358473035,1658.9780298149703
252.32285874479416,1753211.9269266017,1001.472856730323,45.5467127057774,120561.43086553767,361925.2255232155,122312.06436013937,400417.8372348882,555.7200266918369,1657.9022636013838
252.57374186750252,1766442.7855879583,1000.4440465462086,45.902061926327505,121041.43850408403,361952.81550936896,122807.09725500169,400435.6790553048,557.628594521765,1656.8267128516738
252.82462499021085,1779746.2922072245,999.4131143842923,46.25979608946609,121521.85067878173,361979.7850378328,123302.64209185373,400452.6371179675,559.5369520110353,1655.7513537404739
253.07550811291918,1793122.689182194,998.380045471316,46.61993206591581,122002.6702638745,362006.12981270556,123798.7024435195,400468.7060053714,561.4451119260771,1654.6761623144257
253.3263912356275,1806572.2193071924,997.3448248681782,46.98248690876494,122483.90016376614,362031.84549105907,124295.28191886359,400483.8802421221,563.3530871276486,1653.6011144891802
253.57727435833587,1820095.1257777084,996.3074374671488,47.34747785645135,122965.54331353198,362056.9276821853,124792.38416338521,400498.15429399966,565.2608905727049,1652.5261860463372
253.82815748104423,1833691.6521951074,995.2678679890228,47.714922335808026,123447.60267944804,362081.37194682955,125290.01285983525,400511.5225670056,567.1685353163246,1651.451352630333
254.07904060375256,1847362.042571451,994.2261009802106,48.084837965172404,123930.08125952633,362105.1737964054,125788.17172883714,400523.97940638755,569.0760345136629,1650.3765897452643
254.3299237264609,1861106.5413344204,993.1821208097765,48.45724255756107,124412.98208406272,362128.3286921953,126286.86452952704,400535.51909564546,570.9834014219423,1649.30187275165
254.58080684916922,1874925.3933323263,992.135911666395,48.83215412391056,124896.3082161985,362150.8320445333,126786.09506020388,400546.13585551694,572.8906494024991,1648.2271768631376
254.83168997187758,1888818.8438392286,991.0874575552566,49.20959087638738,125380.06275249114,362172.6792119702,127285.86715899479,400555.8238429399,574.7977919228575,1647.1524771431398
255.08257309458594,1902787.1385601584,990.0367422948981,49.58957123176791,125864.2488234996,362193.8655004221,127786.18470453512,400564.5771499956,576.7048425588542,1646.0777485014053
255.33345621729427,1916830.5236364456,988.9837495139654,49.97211381489061,126348.8695943801,362214.3861622996,128287.05161666135,400572.38980282744,578.611814996804,1645.0029656905274
255.5843393400026,1930949.2456511608,987.9284626479047,50.357237462182404,126833.92826549843,362234.23639561905,128788.4718571219,400579.25576053705,580.5187230357208,1643.9281033023767
255.83522246271093,1945143.551634656,986.8708649355789,50.74496122526065,127319.42807305108,362253.4113430943,129290.44943029968,400585.16891405836,582.4255805895699,1642.8531357644665
256.0861055854193,1959413.6890702264,985.810939415811,51.13530437461348,127805.37228970435,362271.90609120973,129792.98838395377,400590.1230850054,584.3324016895843,1641.7780373362443
256.33698870812765,1973759.9058998704,984.74866892385,51.52828640335958,128291.76422524326,362289.71566927107,130296.09280997414,400594.11202449683,586.2392004866175,1640.7027821053098
256.587871830836,1988182.450530196,983.6840360877537,51.92392703109108,128778.60722724014,362306.83504843817,130799.76684515718,400597.12941195397,588.1459912535612,1639.6273439835522
256.8387549535443,2002681.5718384138,982.6170233246955,52.32224620779993,129265.90468173209,362323.2591407341,131304.0146719929,400599.16885387374,590.0527883877984,1638.5516967032102
257.08963807625264,2017257.5191784666,981.547612837183,52.72326411789127,129753.66001391922,362338.9827980342,131808.84051947593,400600.22388257325,591.959606413727,1637.4758138128534
